model,prompt_tokens,batch_size,ubatch_size,n_gen,repetitions,bench_json,gpu_csv 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",1536,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1536_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1536_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",1536,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1536_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1536_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",1536,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1536_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1536_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",1792,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1792_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1792_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",1792,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1792_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1792_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",1792,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1792_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1792_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",1792,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1792_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p1792_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2048,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2048_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2048_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2048,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2048_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2048_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2048,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2048_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2048_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2048,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2048_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2048_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2304,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2304_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2304_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2304,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2304_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2304_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2304,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2304_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2304_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2304,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2304_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2304_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2560,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2560_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2560_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2560,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2560_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2560_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2560,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2560_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2560_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2560,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2560_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2560_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2816,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2816_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2816_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2816,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2816_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2816_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2816,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2816_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2816_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",2816,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2816_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p2816_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3072,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3072_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3072_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3072,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3072_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3072_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3072,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3072_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3072_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3072,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3072_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3072_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3328,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3328_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3328_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3328,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3328_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3328_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3328,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3328_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3328_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3328,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3328_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3328_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3584,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3584_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3584_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3584,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3584_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3584_b2048_ub1024_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3584,2048,1536,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3584_b2048_ub1536_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3584_b2048_ub1536_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3584,2048,2048,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3584_b2048_ub2048_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3584_b2048_ub2048_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3840,2048,512,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3840_b2048_ub512_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3840_b2048_ub512_n0_r100.gpu.csv" 
"LLMs\Llama-3.2-3B-Instruct-Q8_0.gguf",3840,2048,1024,0,100,"prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3840_b2048_ub1024_n0_r100.json","prefill-bench-results\Llama-3.2-3B-Instruct-Q8_0_p3840_b2048_ub1024_n0_r100.gpu.csv" 
